Date,Open,High,Low,Close,Volume,Change
2020-01-02,5670,5670,5545,5548,483794,-0.021516754850088193
2020-01-03,5604,5608,5537,5572,583,0.00432588320115368
2020-01-06,5564,5564,5438,5468,995,-0.01866475233309406
2020-01-07,5427,5514,5427,5517,1414,0.008961228968544344
2020-01-08,5488,5488,5350,5387,1752,-0.023563530904477048
2020-01-09,5441,5458,5378,5387,1051,0.0
2020-01-10,5384,5384,5352,5384,1659,-0.0005568962316688797
2020-01-13,5346,5382,5314,5387,3165,0.0005572065378900426
2020-01-14,5377,5448,5377,5453,488812,0.012251717096714243
2020-01-15,5434,5442,5409,5442,1056,-0.0020172382174949988
2020-01-16,5429,5441,5378,5446,351,0.0007350238882763982
2020-01-17,5429,5429,5385,5434,381,-0.0022034520749173447
2020-01-20,5411,5497,5411,5468,3443,0.0062569009937432085
2020-01-21,5451,5470,5421,5446,409,-0.004023408924652472
2020-01-22,5421,5446,5399,5437,1362,-0.0016525890561880363
2020-01-23,5382,5402,5367,5408,839,-0.00533382379988967
2020-01-28,5349,5349,5149,5217,638331,-0.03531804733727806
2020-01-29,5183,5199,5162,5198,352,-0.0036419398121525504
2020-01-30,5196,5196,5154,5182,366619,-0.0030781069642169534
2020-01-31,5173,5201,5140,5145,502,-0.0071401003473562374
2020-02-03,5124,5130,5048,5124,1733,-0.004081632653061273
2020-02-04,5122,5150,5084,5120,114527,-0.0007806401249024209
2020-02-05,5150,5183,5138,5182,5726,0.012109375000000089
2020-02-06,5189,5280,5167,5282,48,0.0192975685063681
2020-02-07,5219,5219,5159,5210,1371,-0.013631200302915536
2020-02-10,5222,5222,5075,5113,1923,-0.018618042226487552
2020-02-11,5098,5162,5098,5145,857,0.006258556620379441
2020-02-12,5161,5201,5091,5201,10848,0.010884353741496655
2020-02-13,5153,5153,5108,5117,1856,-0.016150740242261152
2020-02-14,5069,5106,5069,5082,739,-0.0068399452804377425
2020-02-17,5061,5061,5008,5037,600,-0.008854781582054327
2020-02-18,5046,5046,4947,4965,115791,-0.01429422275163783
2020-02-19,4980,4984,4936,4980,797,0.0030211480362538623
2020-02-20,4983,4983,4922,4962,241,-0.0036144578313253017
2020-02-21,4893,4893,4857,4893,1635,-0.013905683192261153
2020-02-24,4831,4831,4680,4686,1512,-0.04230533415082771
2020-02-25,4640,4756,4640,4737,236,0.010883482714468595
2020-02-26,4659,4740,4649,4728,4815,-0.0018999366687777464
2020-02-27,4701,4742,4691,4746,2277,0.0038071065989848663
2020-02-28,4665,4665,4616,4644,4570,-0.02149178255372941
2020-03-02,4632,4632,4563,4586,3085,-0.01248923341946595
2020-03-03,4591,4591,4542,4548,3294,-0.008286088094199728
2020-03-04,4540,4631,4540,4635,3216,0.01912928759894461
2020-03-05,4574,4594,4543,4574,3101,-0.013160733549083092
2020-03-06,4521,4521,4437,4471,18814,-0.02251858329689549
2020-03-09,4366,4366,4196,4199,6132,-0.06083650190114065
2020-03-10,4173,4203,4153,4190,2338,-0.002143367468444901
2020-03-11,4191,4272,4154,4194,2829,0.0009546539379474694
2020-03-12,4059,4071,3835,3837,6730,-0.08512160228898424
2020-03-13,3732,3807,3682,3810,1851,-0.0070367474589523304
2020-03-16,3805,3859,3728,3733,3735,-0.02020997375328082
2020-03-17,3441,3598,3441,3461,4150,-0.07286364854004823
2020-03-18,3461,3537,3389,3393,902,-0.019647500722334565
2020-03-19,3334,3397,3061,3105,4278,-0.08488063660477452
2020-03-20,3199,3454,3064,3458,8953,0.11368760064412231
2020-03-23,3140,3203,3135,3143,2425,-0.09109311740890691
2020-03-24,3236,3324,3165,3313,2714,0.05408845052497613
2020-03-25,3448,3628,3448,3632,7847,0.09628735285239953
2020-03-26,3683,3784,3581,3683,2710,0.014041850220264385
2020-03-27,3898,3898,3729,3807,1861,0.03366820526744507
2020-03-30,3738,3811,3634,3773,4259,-0.008930916732335148
2020-03-31,3742,3901,3742,3821,2593,0.01272197190564528
2020-04-01,3777,3823,3601,3628,1549,-0.05051033760795598
2020-04-02,3671,3675,3558,3671,2128,0.011852260198456532
2020-04-03,3624,3672,3600,3632,2379,-0.010623808226641218
2020-04-06,3684,3753,3612,3755,4240,0.033865638766519934
2020-04-07,3913,3913,3779,3856,1182,0.02689747003994669
2020-04-08,3792,3828,3768,3770,995,-0.022302904564315384
2020-04-09,3828,3828,3771,3810,170,0.010610079575596787
2020-04-10,3856,3961,3856,3960,8643,0.03937007874015741
2020-04-13,3892,3953,3875,3879,2206,-0.020454545454545503
2020-04-14,3900,3952,3859,3955,4913,0.019592678525393037
2020-04-16,3826,3842,3764,3842,3440,-0.02857142857142858
2020-04-17,3900,3950,3891,3915,7491,0.019000520562207246
2020-04-20,3920,3920,3863,3875,13122,-0.010217113665389577
2020-04-21,3866,3866,3738,3801,2525,-0.019096774193548383
2020-04-22,3710,3787,3676,3789,3372,-0.0031570639305446013
2020-04-23,3767,3804,3746,3773,1727,-0.004222750065980496
2020-04-24,3740,3740,3710,3728,1691,-0.011926848661542588
2020-04-27,3791,4074,3786,4079,15020,0.0941523605150214
2020-04-28,4188,4271,4044,4112,10240,0.008090218190732967
2020-04-29,4157,4205,4123,4166,3388,0.013132295719844311
2020-05-04,4078,4078,3982,3994,10218,-0.04128660585693711
2020-05-06,4018,4018,3961,3994,2626,0.0
2020-05-07,3946,4000,3934,4002,5063,0.0020030045067600533
2020-05-08,4059,4059,4000,4002,6989,0.0
2020-05-11,3996,4029,3954,3956,1004,-0.011494252873563204
2020-05-12,3935,3935,3840,3870,3968,-0.021739130434782594
2020-05-13,3787,3874,3782,3878,11531,0.002067183462532318
2020-05-14,3844,3844,3781,3782,3499,-0.024755028365136655
2020-05-15,3892,3892,3791,3878,8799,0.025383395029085154
2020-05-18,3842,3842,3778,3818,5875,-0.015471892728210368
2020-05-19,3966,4001,3966,3991,3399,0.045311681508643176
2020-05-20,3947,3977,3935,3958,4051,-0.008268604359809584
2020-05-21,4029,4029,3932,3948,25473,-0.002526528549772644
2020-05-22,3990,3990,3821,3858,4788,-0.022796352583586588
2020-05-25,3897,3897,3818,3897,4306,0.010108864696733999
2020-05-26,3912,4010,3897,3994,3297,0.024890941750064233
2020-05-27,4114,4114,4030,4071,15072,0.019278918377566345
2020-05-28,4225,4284,4136,4213,30824,0.03488086465241946
2020-05-29,4209,4289,4110,4279,6766,0.015665796344647598
2020-06-01,4326,4338,4257,4338,9001,0.013788268286982985
2020-06-02,4367,4571,4318,4557,36246,0.050484094052558826
2020-06-03,4692,4884,4651,4834,54320,0.060785604564406404
2020-06-04,4882,5027,4666,4710,63421,-0.025651634257343847
2020-06-05,4716,4776,4659,4768,33826,0.012314225053078554
2020-06-08,4813,4869,4721,4750,38771,-0.003775167785234901
2020-06-09,4766,4791,4644,4715,16811,-0.00736842105263158
