date,etf,action,price,size,reason,return
2018-01-23,233740,BUY,25500,0.5,Smash Day Signal,
2018-01-23,233740,SELL,26565,0.5,Bailout Exit,0.041764705882352926
2018-02-07,122630,BUY,17215,0.5,Smash Day Signal,
2018-02-07,122630,SELL,16120,0.5,Stop Loss,-0.06360731919837348
2018-02-12,122630,BUY,15720,0.5,Smash Day Signal,
2018-02-12,122630,SELL,15870,0.5,Bailout Exit,0.009541984732824416
2018-03-14,114800,BUY,6055,0.5,Smash Day Signal,
2018-03-19,114800,SELL,6060,0.5,Bailout Exit,0.0008257638315440907
2018-03-23,114800,BUY,6125,0.5,Smash Day Signal,
2018-03-23,114800,SELL,6210,0.5,Bailout Exit,0.013877551020408108
2018-04-20,114800,BUY,6085,0.5,Smash Day Signal,
2018-04-20,114800,SELL,6095,0.5,Bailout Exit,0.0016433853738702098
2018-04-26,122630,BUY,16440,0.5,Smash Day Signal,
2018-04-26,122630,SELL,16760,0.5,Bailout Exit,0.019464720194647178
2018-05-10,122630,BUY,16545,0.5,Smash Day Signal,
2018-05-10,122630,SELL,16595,0.5,Bailout Exit,0.003022061045633073
2018-10-26,122630,BUY,11725,0.5,Smash Day Signal,
2018-10-26,122630,SELL,11320,0.5,Stop Loss,-0.034541577825159875
2018-12-27,122630,BUY,11405,0.5,Smash Day Signal,
2018-12-28,122630,SELL,11445,0.5,Bailout Exit,0.003507233669443277
2019-02-14,114800,BUY,6695,0.5,Smash Day Signal,
2019-02-18,114800,SELL,6640,0.5,Time Exit,-0.00821508588498876
2019-04-16,114800,BUY,6575,0.5,Smash Day Signal,
2019-04-18,114800,SELL,6650,0.5,Bailout Exit,0.011406844106463865
2019-08-27,122630,BUY,10525,0.5,Smash Day Signal,
2019-08-28,122630,SELL,10705,0.5,Bailout Exit,0.017102137767220915
2019-10-15,114800,BUY,6920,0.5,Smash Day Signal,
2019-10-18,114800,SELL,6945,0.5,Bailout Exit,0.0036127167630057855
2019-11-08,233740,BUY,8850,0.5,Smash Day Signal,
2019-11-11,233740,SELL,8470,0.5,Stop Loss,-0.04293785310734466
2020-01-07,122630,BUY,13990,0.5,Smash Day Signal,
2020-01-07,122630,SELL,14115,0.5,Bailout Exit,0.008934953538241697
2020-01-09,233740,BUY,8290,0.5,Smash Day Signal,
2020-01-09,233740,SELL,8545,0.5,Bailout Exit,0.030759951749095293
2020-01-15,114800,BUY,6210,0.5,Smash Day Signal,
2020-01-15,114800,SELL,6235,0.5,Bailout Exit,0.004025764895330131
2020-03-06,114800,BUY,6695,0.5,Smash Day Signal,
2020-03-06,114800,SELL,6750,0.5,Bailout Exit,0.00821508588498876
2020-05-04,114800,BUY,6945,0.5,Smash Day Signal,
2020-05-04,114800,SELL,7010,0.5,Bailout Exit,0.009359251259899226
2020-06-25,114800,BUY,6135,0.5,Smash Day Signal,
2020-06-25,114800,SELL,6200,0.5,Bailout Exit,0.010594947025264867
2020-06-30,122630,BUY,12260,0.5,Smash Day Signal,
2020-07-02,122630,SELL,12380,0.5,Bailout Exit,0.00978792822185981
2020-09-04,251340,BUY,5250,0.5,Smash Day Signal,
2020-09-04,251340,SELL,5145,0.5,Stop Loss,-0.020000000000000018
2020-10-22,114800,BUY,5410,0.5,Smash Day Signal,
2020-10-22,114800,SELL,5415,0.5,Bailout Exit,0.0009242144177448175
2021-03-10,122630,BUY,25885,0.5,Smash Day Signal,
2021-03-10,233740,BUY,13470,0.5,Smash Day Signal,
2021-03-10,122630,SELL,24945,0.5,Stop Loss,-0.03631446783851655
2021-03-10,233740,SELL,13000,0.5,Stop Loss,-0.03489235337787677
2021-03-19,251340,BUY,4650,0.5,Smash Day Signal,
2021-03-22,251340,SELL,4565,0.5,Time Exit,-0.018279569892473146
